% Model,grating_2D_bands.mph
% Version,COMSOL 5.3.0.223
% Date,"Sep 14 2019, 08:54"
% Table,Table 2 - Global Evaluation 3 (emw.freq)
% Kx,"Solution=1, Frequency (Hz)","Solution=2, Frequency (Hz)","Solution=3, Frequency (Hz)","Solution=4, Frequency (Hz)","Solution=5, Frequency (Hz)","Solution=6, Frequency (Hz)","Solution=7, Frequency (Hz)","Solution=8, Frequency (Hz)","Solution=9, Frequency (Hz)","Solution=10, Frequency (Hz)","Solution=11, Frequency (Hz)","Solution=12, Frequency (Hz)","Solution=13, Frequency (Hz)","Solution=14, Frequency (Hz)","Solution=15, Frequency (Hz)","Solution=16, Frequency (Hz)","Solution=17, Frequency (Hz)","Solution=18, Frequency (Hz)","Solution=19, Frequency (Hz)","Solution=20, Frequency (Hz)","Solution=21, Frequency (Hz)","Solution=22, Frequency (Hz)","Solution=23, Frequency (Hz)","Solution=24, Frequency (Hz)","Solution=25, Frequency (Hz)"
0,2.1642080354766527E-8,0.05512161663044146,0.061443736273909845,0.128135003418268,0.1281453282681147,0.16766620569050159,0.1844819414315238,0.2560279078779671,0.2561098742781894,0.2849132823153476,0.30795492575598815,0.38356317966486914,0.38384657541203837,0.4060089358110263,0.432058666205992,0.4909308603117435,0.5118645052754319,0.5128174956960803,0.5307876322487913,0.5571382855989666,0.6313561689058276,0.6484041709108602,0.6558158812713583,0.6627787642259807,0.676823473648676
0.1,3.055439501711863E-7,6.740320042848063E-6,0.049470686576731634,0.06865259732160515,0.07857022340472172,0.1365905587973028,0.1369680292483171,0.17310931925878653,0.19072001888695292,0.2603922945244494,0.2605176430598096,0.28843990477568576,0.31170092346465617,0.3865549299218896,0.3866941447091588,0.40865125252171947,0.43471527100292484,0.4888813293890061,0.514129307720231,0.5149764131331268,0.5330504798305857,0.5591816045197688,0.6306039833272828,0.6644284618673554,0.6764157584731838
0.2,3.797906043845336E-8,0.09840277316906595,0.09890044859312364,0.11655146011786084,0.15975303798018836,0.16109010317834113,0.18900336404898746,0.2085447330756785,0.2729362024191916,0.27365365618218124,0.29889792129515896,0.32274069848999326,0.39514413615206484,0.3954294399177826,0.41656520575361694,0.4426128388615516,0.4828991689514281,0.5208874851502613,0.521419309294638,0.539788591956209,0.5652778945843536,0.6281726801575281,0.6551481450019017,0.6692037275474042,0.6752033102930892
0.30000000000000004,7.342367554961306E-9,0.13157204535168454,0.14823928707766296,0.16138840641878358,0.19287076137844636,0.1954076782902753,0.21418530720535484,0.2357009274601088,0.29288997275543327,0.2945082665556662,0.31592396083691693,0.34051009050804615,0.40892550891498736,0.4098932504493197,0.42976524625647566,0.4555395494337139,0.4734455351064583,0.5320362245834481,0.5320466726198838,0.5508100072254662,0.5753279260933876,0.6235389365835425,0.6634805167823732,0.6733952330045687,0.6766006224190753
0.4,3.3436750677279077E-9,0.16304618102946153,0.19741554733988734,0.2086293608663572,0.23176142738645966,0.23557973034588336,0.24707447607438882,0.269566260045838,0.3190405471346336,0.3217793737416212,0.3389392432383033,0.36417357148962753,0.42761316927875626,0.4294890056167714,0.4484219077688394,0.4610678929910147,0.4731598472340114,0.5466938225359089,0.5474283552895456,0.5657509459372159,0.5891734742825459,0.6159019046041454,0.6715984313666307,0.6750494119637341,0.6858764830227231
0.5,4.552880551352989E-8,1.6336976811273743E-7,0.19111421720629101,0.24631466451116524,0.256928085942123,0.2739033522011667,0.27904366737901115,0.2857924515809144,0.30796535815172654,0.3500803954711222,0.35408794995562143,0.3672723259083188,0.3927668444174308,0.4466605742685407,0.45067316693076415,0.45364593535192077,0.47227831672212384,0.49504218133602074,0.5650921485709416,0.5669316539691428,0.5841924973255428,0.6044163244782905,0.6066146392239747,0.6702205882433794,0.6961782324206189
0.6000000000000001,9.446400203791053E-8,0.21548377630978285,0.294740283507949,0.30577666127179826,0.3179719429275323,0.3244393335320328,0.3283309969040556,0.34938128604588786,0.3848284087098181,0.3902075268530753,0.4011890785022639,0.4253366218406688,0.43165582889705334,0.4775277959919883,0.48174521417280586,0.4993344377987195,0.5206968250857523,0.5867019281595323,0.5885136231707699,0.5906059085141887,0.6058102026682518,0.6274611123012912,0.6687406637296809,0.7025253643878466,0.702799111714925
0.7000000000000001,0.2360778965945661,0.342344998551485,0.35494529872664377,0.3633355700161025,0.3710333869673784,0.37290436418709966,0.3928253941255111,0.4143129546976072,0.42233420847499054,0.42915652089267176,0.4430210901931982,0.46102994019935806,0.5076402574151077,0.5131937148177358,0.5287707201256663,0.5496301496967498,0.5678903882541236,0.6108367242449406,0.619313235868346,0.6303733310199847,0.6526503957130626,0.6531948723295234,0.6595847917713475,0.6620910470287827,0.6660061856609888
0.8,0.2523632442541828,0.38854056793944913,0.4008702087789117,0.4043148886064018,0.4097907338554009,0.41840714215262875,0.4241912399949187,0.4376525236939902,0.46189459429500224,0.4701881746302803,0.48037818471301197,0.4991217976755747,0.5403944292500633,0.5418368926462289,0.5475578440969627,0.5608823414983971,0.5815470684156594,0.6028091738802637,0.6037776224384064,0.6106892792172659,0.6133069984708969,0.6245222793716335,0.631455405585907,0.6363723850408793,0.6516503593154628
0.9,0.39721270916158485,0.4325063656726975,0.4538139288182176,0.45730978653273924,0.46630124810140866,0.46889106460492674,0.48340087046318114,0.5030586304769924,0.5104473980167379,0.5127448759640508,0.5205315021913215,0.5391594394667049,0.552999142931886,0.5545712870092556,0.5627195081071376,0.5647061617456093,0.574810228983712,0.5765548949019471,0.5851321958976617,0.5875700705454246,0.595569276027236,0.5970679264474071,0.6068580269863647,0.6172313724057721,0.6220456665938993
1,0.39506096681765934,0.4706297382773016,0.4765802024245845,0.5029560449495013,0.5037400454230248,0.5056233521739276,0.5057708425441907,0.5140959317518213,0.5149250337034283,0.5160785509186895,0.5168233512147836,0.5264856014427332,0.5327245622313509,0.543784373520718,0.5464055541507477,0.5541251945630594,0.5578832068398768,0.5620868281645313,0.5638268754235641,0.5736063450732884,0.5874001528448072,0.6042789605892388,0.6097864480302114,0.6134190794649224,0.6240445369648366
